    7  327.9968 370.0955    7759     0  1820  5939  
    8  328.4923 368.6495    8443   684  2479  5964  
    9  327.9565 370.3228    8571   128  1963  6608  
   10  325.5536 374.5154    8513    58  2237  6276  
   11  328.6041 380.4290    6043  2470  1824  4219  
   12  329.8736 382.9052    5666   377  2263  3403  
   13  329.1262 383.9512    6207   541  1830  4377  
   14  328.6289 385.9181    5953   254  1827  4126  
   15  330.2333 382.2319    5154   799  2227  2927  
   16  333.5735 380.9671    5408   254  1655  3753  
   17  335.6018 379.8770    4414   994  1543  2871  
   18  334.8829 374.5309    4261   153  1415  2846  
   19  336.1817 377.8493    4608   347  1812  2796  
   20  337.4733 369.1824    5597   989  2123  3474  
   21  341.6476 368.3170    5577    20  2284  3293  
   22  343.7519 363.1478    5407   170  3079  2328  
   23  340.8076 361.5058    5842   435  2087  3755  
   24  340.2685 359.5517    4713  1129  2733  1980  
   25  336.8351 360.3686    6098  1385  1996  4102  
   26  335.9660 359.7986    5250   848  2753  2497  
   27  333.4842 355.8332    5920   670  1759  4161  
   28  337.3311 361.2443    6646   726  1605  5041  
   29  335.0111 363.0663    5819   827  1770  4049  
   30  335.2155 361.3935    5705   114  2262  3443  
   31  333.2679 365.2124    5613    92  2021  3592  
   32  333.7790 363.8493    4437  1176  1877  2560  
   33  328.1243 367.8305    4818   381  1629  3189  
   34  325.4458 370.3316    6124  1306  1935  4189  
   35  321.2410 371.0237    5934   190  1631  4303  
   36  315.3284 370.3315    5998    64  1899  4099  
   37  311.5594 370.8317    4700  1298  2158  2542  
   38  311.4479 375.6295    6317  1617  1727  4590  
   39  315.2950 376.1641    5418   899  1720  3698  
   40  309.2185 377.2807    6691  1273  1173  5518  
   41  312.0174 376.4130    7792  1101  2580  5212  
   42  318.5952 377.1390    7158   634  1687  5471  
   43  318.3812 377.3892    8435  1277  1459  6976  
   44  313.0359 375.2014    6347  2088  1637  4710  
   45  311.2308 374.1846    5727   620  1507  4220  
   46  310.5676 374.0033    5430   297  2312  3118  
   47  311.5570 372.7525    5749   319  1650  4099  
   48  314.1207 376.0074    5140   609  1527  3613  
   49  315.8926 380.6127    4594   546  1710  2884  
   50  316.4448 384.8377    5425   831  1459  3966  
   51  319.0090 388.3057    4516   909  1517  2999  
   52  323.6981 395.6405    5537  1021  1319  4218  
   53  325.3237 393.9558    3536  2001  1295  2241  
   54  325.6430 391.3023    5531  1995  1465  4066  
   55  330.9483 391.7990    4117  1414  1703  2414  
   56  331.4444 393.5636    5824  1707  1512  4312  
   57  331.8522 392.5049    6559   735  1332  5227  
   58  334.7420 388.8892    5481  1078  1036  4445  
   59  335.9740 391.2180    5273   208  1097  4176  
   60  339.7577 397.0015    4273  1000  1122  3151  
   61  346.5656 395.0543    5297  1024  1820  3477  
   62  349.0727 398.9589    5164   133  1523  3641  
   63  348.2437 400.4042    5136    28  1445  3691  
   64  345.9291 401.7355    4870   266  1766  3104  
   65  349.1585 404.5328    5480   610  1787  3693  
   66  349.2339 409.7029    5891   411  1624  4267  
   67  351.9656 409.7409    5844    47  2311  3533  
   68  350.7651 411.8347    4434  1410  1696  2738  
   69  351.5644 408.6409    5445  1011  1318  4127  
   70  357.9699 409.2710    5706   261  1433  4273  
   71  360.0429 411.7731    6015   309  1741  4274  
   72  358.5831 410.1956    6814   799  2014  4800  
   73  358.9102 405.7604    9276  2462  1540  7736  
   74  358.4895 406.6134    7126  2150  2185  4941  
   75  360.7719 406.2055    7091    35  1812  5279  
   76  363.0399 405.0362    6576   515  1995  4581  
   77  366.6207 402.1609    5535  1041  1889  3646  
   78  367.7588 401.9998    4338  1197  2475  1863  
   79  365.7036 401.7010    5031   693  1840  3191  
   80  365.4866 404.0320    5388   357  1816  3572  
   81  363.3598 408.8412    7584  2196  1728  5856  
   82  362.3470 406.5038    4736  2848  2185  2551  
   83  360.1251 411.1345    4572   164  2200  2372  
   84  364.3763 412.1521    3585   987  2550  1035  
   85  362.5379 411.9311    4940  1355  1391  3549  
   86  361.5000 416.0000    4954    14  2161  2793  
   87  360.2897 414.6459    6014  1060  1332  4682  
   88  364.2027 414.3999    6079    65  1822  4257  
   89  368.0971 417.4513    4439  1640  1207  3232  
   90  366.9756 417.2877    5268   829  2195  3073  
   91  363.1049 417.3822    4263  1005  1260  3003  
   92  360.8358 420.2764    4860   597  1688  3172  
   93  369.4614 423.7810    5362   502  1175  4187  
   94  361.8703 425.5402    5019   343  2052  2967  
   95  365.5908 422.3742    5457   438  1577  3880  
   96  368.7610 419.7475    5193   264  1211  3982  
   97  364.2237 427.4573    4449   744  1085  3364  
   98  365.3664 418.7403    5460  1011  3133  2327  
   99  364.5241 420.8733    4856   604  1050  3806  
